supplier,supplier_status,item,basis,spec_date,delivery_period_end,payment_terms,option,logistics,declared_price,consent_price,spec_price,volume_requested,volume_contracted,bids_submitted,bids_contracted,id,late
АГРО ОПТ ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-10-11,2022-10-11,По факту,5.0,0.0,0.0,21.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ОПТ ООО_Юг Руси, АО_2022-10-11",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"Юг Руси, АО",2022-10-21,2022-10-21,По факту,5.0,0.0,22.0,21.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ОПТ ООО_Юг Руси, АО_2022-10-21",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-10-30,2022-10-30,По факту,10.0,0.0,24.0,24.0,24.0,49.79,49.79,1.0,1.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-10-30",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Лискинский МЭЗ ф-л, ООО",2022-11-10,2022-11-30,По факту,10.0,0.0,25.5,25.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Лискинский МЭЗ ф-л, ООО_2022-11-10",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Лискинский МЭЗ ф-л, ООО",2022-11-17,2022-11-30,По факту,10.0,0.0,26.0,25.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Лискинский МЭЗ ф-л, ООО_2022-11-17",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-12-07,2022-12-15,По факту,5.0,0.0,26.7,24.0,0.0,1500.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-12-07",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-12-08,2022-12-15,По факту,5.0,0.0,26.4,25.0,0.0,1500.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-12-08",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-12-09,2022-12-23,По факту,10.0,0.0,28.5,26.0,0.0,700.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-12-09",0
АГРО ОПТ ООО,Трейдер,подсолнечник,"ЮР Аннинский МЭЗ ф-л, ООО",2022-12-15,2022-12-30,По факту,5.0,0.0,28.0,27.0,0.0,500.0,0.0,1.0,0.0,"АГРО ОПТ ООО_ЮР Аннинский МЭЗ ф-л, ООО_2022-12-15",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-11-17,2022-11-24,По факту,10.0,0.0,0.0,48.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-11-17",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-11-21,2022-11-27,По факту,10.0,0.0,0.0,48.0,0.0,1000.0,0.0,1.0,0.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-11-21",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-11-29,2022-12-10,По факту,10.0,0.0,0.0,45.77,45.77,1000.0,1000.0,1.0,1.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-11-29",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-12-11,2022-12-31,По факту,10.0,0.0,0.0,45.77,0.0,2000.0,0.0,1.0,0.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-12-11",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-12-19,2022-12-25,По факту,10.0,0.0,0.0,45.77,45.77,600.0,600.0,1.0,1.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-12-19",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2022-12-26,2022-12-30,По факту,10.0,0.0,0.0,45.77,0.0,600.0,0.0,1.0,0.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2022-12-26",0
АГРО ЭКСПОРТ ООО,Трейдер,рапс,"ЮР Кропоткинский МЭЗ ф-л, ООО",2023-01-16,2023-01-31,По факту,10.0,0.0,0.0,48.0,0.0,1437.0,0.0,1.0,0.0,"АГРО ЭКСПОРТ ООО_ЮР Кропоткинский МЭЗ ф-л, ООО_2023-01-16",0
